fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
15,4.1.2,110,CHUQUISACA,Nor Cinti,Incahuasi,False,13,col_01,12587,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
16,4.1.2,110,CHUQUISACA,Belisario Boeto Villa Serrano,,False,13,col_01,10227,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
17,4.1.2,110,CHUQUISACA,Sud Cinti,Villa Abecia (Camataqui),False,13,col_01,3298,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
18,4.1.2,110,CHUQUISACA,Sud Cinti,Culpina,False,13,col_01,17303,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
19,4.1.2,110,CHUQUISACA,Luís Calvo,Muyupampa (Villa Vaca,False,13,col_01,9448,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
20,4.1.2,110,CHUQUISACA,Luís Calvo,Macharetí,False,13,col_01,7137,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
21,4.1.2,110,CHUQUISACA,TOTALES,,False,13,col_01,246247,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Chuquisaca,2023,False
1,4.1.3,111,LA PAZ,Murillo,Achocalla,False,12,col_01,19995,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
2,4.1.3,111,LA PAZ,Omasuyos,Achacahi,False,12,col_01,35964,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
3,4.1.3,111,LA PAZ,Pacajes,Coro Coro,False,12,col_01,9481,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
