identidad,cuadro_origen,pagina_pdf,entidad,calculado,publicado,diferencia,detalle
total nacional de 6.3.1.1 = 9.1.5 (ingresadas),6.3.1.1,609,INSTRUCCIÓN ANTICORRUPCIÓN,225.0,259.0,-34.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (atendidas),6.3.1.1,609,INSTRUCCIÓN ANTICORRUPCIÓN,423.0,602.0,-179.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (pendientes_fin),6.3.1.1,609,INSTRUCCIÓN ANTICORRUPCIÓN,238.0,350.0,-112.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (pendientes_inicio),6.3.1.1,609,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,8964.0,13164.0,-4200.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (ingresadas),6.3.1.1,609,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,14978.0,18259.0,-3281.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (atendidas),6.3.1.1,609,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,23942.0,31423.0,-7481.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (pendientes_fin),6.3.1.1,609,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,10654.0,15643.0,-4989.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (pendientes_inicio),6.3.1.1,609,INSTRUCCIÓN PENAL,18248.0,25017.0,-6769.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (ingresadas),6.3.1.1,609,INSTRUCCIÓN PENAL,23680.0,28393.0,-4713.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (atendidas),6.3.1.1,609,INSTRUCCIÓN PENAL,41928.0,53410.0,-11482.0,cruce entre capítulos
total nacional de 6.3.1.1 = 9.1.5 (pendientes_fin),6.3.1.1,609,INSTRUCCIÓN PENAL,21042.0,28060.0,-7018.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (pendientes_inicio),5.3.2.1,364,SENTENCIA ANTICORRUPCIÓN,1246.0,870.0,376.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (ingresadas),5.3.2.1,364,SENTENCIA ANTICORRUPCIÓN,735.0,604.0,131.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (atendidas),5.3.2.1,364,SENTENCIA ANTICORRUPCIÓN,1981.0,1474.0,507.0,cruce entre capítulos
total nacional de 5.3.2.1 = 9.1.1 (pendientes_fin),5.3.2.1,364,SENTENCIA ANTICORRUPCIÓN,1375.0,1104.0,271.0,cruce entre capítulos
