pagina_pdf,cuadro_id,titulo,primeras_lineas,tipo,capitulo,variante_etiqueta,seccion,orden_pagina,paginas_del_cuadro,rango_paginas,n_lineas,n_lineas_datos
67,3.1.3.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO TOTAL DE CAUSAS,INCIDENTES EN GENERAL 0 0 144 144 138 6 ¶ MEDIDAS CAUTELARES 0 0 377 377 363 14 ¶ APELACIONES RESTRINGIDAS 28 0 53 81 81 0,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,3,3,65-67,30,16
68,3.1.3.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,INCIDENTES EN GENERAL 365 0 0 0 365 ¶ MEDIDAS CAUTELARES 468 0 0 4 472 ¶ APELACIONES RESTRINGIDAS 194 0 38 0 232,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,1,3,68-70,48,32
69,3.1.3.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,INCIDENTES EN GENERAL 311 0 0 27 338 ¶ MEDIDAS CAUTELARES 742 0 0 40 782 ¶ APELACIONES RESTRINGIDAS 257 0 0 1 258,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,2,3,68-70,48,32
70,3.1.3.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,INCIDENTES EN GENERAL 107 0 0 31 138 ¶ MEDIDAS CAUTELARES 291 0 0 72 363 ¶ APELACIONES RESTRINGIDAS 81 0 0 0 81,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,3,3,68-70,30,16
71,3.1.3.3,RECURSOS RECIBIDOS / Por: Distritos / Según: Forma de Finalización de Competencia / TOTAL DE RECURSOS RECURSOS,SUCRE 2 92 10 18 2 0 0 30 ¶ LA PAZ 4 224 20 11 8 0 53 92 ¶ COCHABAMBA 4 533 139 37 3 0 43 222,cuadro,3,Cuadro Nro.,Salas en Materia Penal de los Tribunales Departamentales de Justicia,1,1,71,22,10
72,3.1.4.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,COACTIVOS FISCALES 0 0 15 15 4 11 ¶ CONTENCIOSO TRIBUTARIO 28 0 18 46 26 20 ¶ CONTENCIOSO 50 0 40 90 18 72,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,1,3,72-74,38,20
73,3.1.4.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,COACTIVOS FISCALES 0 0 0 0 0 0 ¶ CONTENCIOSO TRIBUTARIO 0 0 0 0 0 0 ¶ CONTENCIOSO 37 0 45 82 40 42,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,2,3,72-74,38,20
74,3.1.4.1,CAUSAS / Por: Distrito y Tipo de Proceso / Según: Movimiento Registrado / FORMA DE INGRESO,COACTIVOS FISCALES 0 0 0 0 0 0 ¶ CONTENCIOSO TRIBUTARIO 0 0 0 0 0 0 ¶ CONTENCIOSO 34 0 63 97 52 45,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,3,3,72-74,26,10
75,3.1.4.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,COACTIVOS FISCALES 4 0 0 0 0 4 ¶ CONTENCIOSO TRIBUTARIO 6 0 0 0 20 26 ¶ CONTENCIOSO 1 2 3 0 12 18,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,1,3,75-77,37,20
76,3.1.4.2,CAUSAS RESUELTAS / Por: Distrito y Tipo de Proceso / Según: Forma de Finalización de Competencia / FORMAS DE FINALIZACIÓN DE COMPETENCIA,COACTIVOS FISCALES 0 0 0 0 0 0 ¶ CONTENCIOSO TRIBUTARIO 0 0 0 0 0 0 ¶ CONTENCIOSO 2 6 4 0 28 40,cuadro,3,Cuadro Nro.,Salas en Materia Administrativa de los Tribunales Departamentales de Justicia,2,3,75-77,37,20
