firma,cuadros,paginas,n_paginas,pagina_referencia,n_columnas,columna,encabezado_pdf,titulo_pagina
49b0b86040,"5.1.2.5,6.1.2.5",221-498,21,221,5,3,CAUSAS EN EJECUCIÓN DE SENTENCIA / TOTAL CAUSAS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
49b0b86040,"5.1.2.5,6.1.2.5",221-498,21,221,5,4,TERMINADAS EN LA / GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
49b0b86040,"5.1.2.5,6.1.2.5",221-498,21,221,5,5,PENDIENTES PARA LA / PRÓXIMA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
bf4c27924f,5.1.2.6,232-234,3,232,5,1,INCIDENTES PENDIENTES AL / INICIAR LA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
bf4c27924f,5.1.2.6,232-234,3,232,5,2,INCIDENTES NUEVOS / DEMANDADOS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
bf4c27924f,5.1.2.6,232-234,3,232,5,3,MOVIMIENTO REGISTRADO / TOTAL DE INCIDENTES,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
bf4c27924f,5.1.2.6,232-234,3,232,5,4,INCIDENTES RESUELTOS,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
bf4c27924f,5.1.2.6,232-234,3,232,5,5,INCIDENTES PENDIENTES / PARA LA PROXIMA GESTIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
3712a33d43,5.1.2.7,235-238,4,235,2,1,AUDIENCIAS DE CONCILIACIÓN,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
3712a33d43,5.1.2.7,235-238,4,235,2,2,CONCILIACIONES QUE DIERON FIN A LA DEMANDA,Juzgados Públicos en Materia de Familia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,1,NÚMERO DE / JUZGADOS,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
d7b03fa397,5.1.3.1,239-239,1,239,15,2,TOTAL DE / PERMISOS DE / VIAJES AL / EXTERIOR / TRAMITADOS EN / EL JUZGADO,Juzgados Públicos de la Niñez y Adolescencia de Ciudades Capitales y El Alto
