cuadro_origen,pagina_pdf,departamento,columna,fragmentos_encabezado
4.1.9,117,BENI,col_11,TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS
4.1.9,117,BENI,col_12,TRIBUNAL DE SENTENCIA (Nominal)
4.1.9,117,BENI,col_13,CONCILI ADOR
4.1.9,117,BENI,col_14,JUZGADO AGROAM BIENTAL
4.1.9,117,BENI,col_15,TOTALES
4.1.10,118,PANDO,col_01,"JUZGADOS, CONCILIADORES POBLACIÓN PROYECTADA AL"
4.1.10,118,PANDO,col_02,TRIBUNALES JUZGADO PÚBLICO INSTRUCCIÓN PENAL
4.1.10,118,PANDO,col_03,CONCILIADORES JUZGADO CONCILIADOR
4.1.10,118,PANDO,col_04,PROVINCIAS JUZGADO AGROAMBIENTAL
4.1.10,118,PANDO,col_05,TOTALES
